5641,394684,355731,39087
5642,394454,355384,39203
5643,394995,355782,39348
5644,395188,356093,39229
5645,396661,357374,39423
5646,396240,356797,39580
5647,396522,357078,39581
5648,0,0,0
5649,395568,356251,39453
5650,395801,356558,39376
5651,0,0,0
5652,394248,355107,39273
5653,394062,355022,39172
5654,0,0,0
5655,393549,354474,39209
5656,458151,404731,53633
5657,458671,405285,53600
5658,459225,405886,53553
5659,459327,405971,53569
5660,542525,459891,83001
5661,542842,460198,83029
5662,498326,432099,66513
5663,498623,432297,66609
5664,498619,432451,66455
5665,500372,432100,68591
5666,498026,431830,66481
