5001,0,0,0
5002,0,0,0
5003,0,0,0
5004,0,0,0
5005,0,9,0
5006,0,0,0
5007,0,0,0
5008,0,0,0
5009,547557,428379,86873
5010,958183,484282,475980
5011,957386,473423,486090
5012,551455,276656,276040
5013,87,2,2
5014,857656,420220,439344
5015,947817,460714,489216
5016,948230,460526,489831
5017,948805,460500,490430
5018,950988,470814,482266
5019,952465,482785,471769
5020,951495,453193,500452
5021,952244,445761,508638
5022,953347,438715,516758
5023,952598,438490,516239
5024,957154,439324,519983
5025,956476,447159,511473
5026,957748,454555,505356
5027,958374,454383,506158
5028,959407,454472,507139
5029,960120,454740,507572
5030,476571,228488,249173
5031,831608,409371,424090
5032,947027,461856,487325
5033,947282,461344,488123
5034,160478,143622,16876
5035,160217,143437,16799
5036,935586,455852,481914
5037,929383,452191,479326
5038,602211,276668,326534
5039,939137,456817,484498
5040,947692,460641,489259
5041,941259,457482,485997
5042,942735,458152,486745
5043,941419,457411,486215
5044,940671,457249,485619
5045,939739,457320,484634
5046,940880,457071,485988
5047,944068,458269,487917
5048,0,0,0
5049,0,0,0
5050,0,0,0
5051,0,0,0
5052,0,0,0
5053,0,0,0
5056,0,0,0
5057,0,0,0
5058,0,0,0
5059,303973,165058,139443
5060,7454,134,7319
5061,7410,133,7277
5062,7444,133,7310
5063,7443,134,7308
5064,7432,133,7298
5065,7489,133,7355
5066,7468,137,7331
5067,7493,133,7360
5068,7478,136,7342
5069,109967,2021,107948
5070,110247,2014,108234
5071,110339,2022,108318
5072,110366,2031,108336
5073,110379,2022,108358
5074,110420,2035,108386
5075,512124,10206,501945
5076,512140,10212,501954
5077,512533,10215,502348
5078,513149,10286,502894
5079,1063519,22912,1040746
5080,1069191,23034,1046301
5081,1068387,23069,1045458
5082,1070674,23183,1047638
5083,29973,604,29369
5084,30764,621,30143
5085,30642,627,30015
5087,30434,612,29821
5088,30602,616,29986
5089,25696,538,25158
5090,14447,339,14107
5091,6781,196,6585
5092,4115,144,3971
5093,32197,631,31566
5094,33117,641,32475
5095,32938,657,32281
5096,30951,648,30302
5097,26233,576,25657
5098,14631,332,14299
5099,6881,175,6705
5100,6962,157,6805
5101,6855,178,6677
5102,6902,168,6734
5103,6769,171,6598
5104,6785,167,6618
5105,6852,174,6677
5106,0,0,0
5107,0,0,0
5108,4638,169,4469
5109,0,0,0
5110,61918,3820,58102
5111,33160,1162,31997
5112,43982,1518,42464
5113,52377,1772,50605
5114,28542,16566,11999
5115,296094,164287,132299
5116,296482,164280,132699
5117,0,0,0
5118,0,14,0
5119,0,0,0
5120,0,0,0
5121,0,0,0
5122,0,0,0
5123,0,9,0
5124,0,9,0
5125,0,10,0
5126,0,9,0
5127,0,0,0
5128,0,0,0
5129,0,0,0
5130,0,0,0
5131,0,0,0
5135,0,0,0
5136,0,0,0
5137,0,0,0
5138,0,0,0
5139,0,0,0
5140,0,0,0
5141,0,0,0
5142,2,2,0
5143,0,0,0
5144,828024,418524,411389
5145,974237,474814,501732
5146,973315,473571,502105
5147,0,0,0
5148,0,0,0
5149,0,0,0
5150,5364,246,5117
5151,0,0,0
5152,5348,240,5108
5153,0,0,0
5154,0,0,0
5155,0,0,0
5156,5072,2976,2095
5157,0,0,0
5158,213,212,1
