#SDC3-X1
31	1	0.833	-867.655
31	2	0.833	-869.274
31	3	0.833	-870.466
31	4	0.833	-870.597
31	5	0.833	-871.67
31	6	0.833	-871.303
31	7	0.833	-871.879
31	8	0.833	-871.973
31	9	0.833	-873.086
31	10	0.833	-873.599
31	11	0.833	-874.003
31	12	0.833	-874.828
31	13	0.833	-873.231
31	14	0.833	-870.734
31	15	0.833	-872.265
31	16	0.833	-871.185
31	17	0.833	-869.257
31	18	0.833	-870.747
31	19	0.833	-870.781
31	20	0.833	-870.888
31	21	0.833	-868.57
31	22	0.833	-868.278
31	23	0.833	-869.173
31	24	0.833	-868.487
31	25	0.833	-872.52
31	26	0.833	-869.701
31	27	0.833	-869.939
31	28	0.833	-869.084
31	29	0.833	-866.79
31	30	0.833	-867.864
31	31	0.833	-867.661
31	32	0.833	-867.264
31	33	0.833	-868.968
31	34	0.833	-869.937
31	35	0.833	-870.204
31	36	0.833	-866.91
31	37	0.833	-867.528
31	38	0.833	-864.999
31	39	0.833	-868.702
31	40	0.833	-868.564
31	41	0.833	-866.177
31	42	0.833	-867.172
31	43	0.833	-870.706
31	44	0.833	-867.791
31	45	0.833	-868.311
31	46	0.833	-866.96
31	47	0.833	-867.087
31	48	0.833	-868.652
31	49	0.833	-866.198
31	50	0.833	-866.114
31	51	0.833	-865.696
31	52	0.833	-868.252
31	53	0.833	-867.493
31	54	0.833	-866.19
31	55	0.833	-868.429
31	56	0.833	-868.661
31	57	0.833	-867.955
31	58	0.833	-870.275
31	59	0.833	-867.446
31	60	0.833	-869.551
31	61	0.833	-868.128
31	62	0.833	-865.84
31	63	0.833	-871.06
31	64	0.833	-868.591
31	65	0.833	-866.191
31	66	0.833	-866.473
31	67	0.833	-867.744
31	68	0.833	-865.026
31	69	0.833	-865.856
31	70	0.833	-865.813
31	71	0.833	-866.646
31	72	0.833	-867.333
31	73	0.833	-865.887
31	74	0.833	-867.006
31	75	0.833	-867.513
31	76	0.833	-864.627
31	77	0.833	-869.771
31	78	0.833	-867.002
31	79	0.833	-868.366
