113	0	6	6	-1.99869	0.0273835	0.00144638	1.35309e-05	-2.22029e-06	2.83517e-08
114	0	6	6	-3.94791	0.0114397	0.00219563	-1.04451e-05	-1.46189e-06	1.88879e-08
115	0	6	6	-4.28167	0.00644246	0.00222184	1.22239e-05	-2.33865e-06	2.81287e-08
116	0	6	6	-4.21442	0.00963193	0.00188066	2.27517e-05	-2.43441e-06	2.8027e-08
117	0	6	6	-2.99999	0.0151224	0.00192553	1.11675e-05	-2.2403e-06	2.76224e-08
118	0	6	6	-4.45283	0.00688361	0.00244339	-1.28581e-05	-1.5675e-06	2.08337e-08
121	0	6	6	-4.9257	0.00052815	0.00221592	2.12179e-05	-2.44998e-06	2.76512e-08
122	0	6	6	-4.99957	0.00276901	0.00166887	4.69788e-05	-2.86571e-06	2.96219e-08
123	0	6	6	-3.39606	0.0122561	0.00194481	1.18227e-05	-2.12806e-06	2.52535e-08
124	0	6	6	-4.79659	0.0064291	0.00176418	3.71864e-05	-2.74716e-06	2.98855e-08
